rang;titre;réalisateur;année;entrées;pays
1;"Titanic";"James Cameron";1997;20634793;"États-Unis"
2;"Bienvenue chez les Ch'tis";"Dany Boon";2008;20413165;"France"
7;"Il était une fois dans l'Ouest";"Sergio Leone";1968;14873304;"Italie, États-Unis"
8;"Le Livre de la jungle";"Wolfgang Reitherman";1967;15696567;"États-Unis"
9;"Avatar";"James Cameron";2009;14677888;"États-Unis"
10;"Les 101 Dalmatiens";"Clyde Geronimi, Hamilton Luske";1961;14660594;"États-Unis"
11;"Astérix et Obélix : Mission Cléopâtre";"Alain Chabat";2002;14314786;"France, Allemagne"
12;"Les Dix Commandements";"Cecil B. DeMille";1956;14229563;"États-Unis"
14;"Les Visiteurs";"Jean-Marie Poiré";1993;13671595;"France"
16;"Cendrillon";"Clyde Geronimi ,Wilfred Jackson, Hamilton Luske";1950;13216631;"États-Unis"
18;"Les Aristochats";"Wolfgang Reitherman";1971;12541369;"États-Unis"
19;"Qu'est-ce qu'on a fait au Bon Dieu ?";"Philippe de Chauveron";2014;12237274;"France"
21;"Le Corniaud";"Gérard Oury";1965;11739783;"France, Italie, Espagne"
23;"Bambi";"David Hand, James Algar, Samuel Armstrong";1948;10679024;"États-Unis"
24;"Star Wars, épisode VII : Le Réveil de la Force";"J. J. Abrams";2015;10466198;"États-Unis"
25;"Les Bronzés 3 : Amis pour la vie";"Patrice Leconte";2006;10260902;"France"
26;"Trois hommes et un couffin";"Coline Serreau";1985;10251465;"France"
27;"Taxi 2";"Gérard Krawczyk";2000;10239830;"France"
28;"Les Canons de Navarone";"J. Lee Thompson";1961;10181209;"Royaume-Uni, États-Unis"
30;"Le Roi lion (2019)";"Jon Favreau";2019;10007043;"États-Unis"
31;"La Guerre des boutons";"Yves Robert";1962;9975148;"France"
33;"Le Docteur Jivago";"David Lean";1966;9816054;"États-Unis, Italie"
34;"Sous le plus grand chapiteau du monde";"Cecil B. DeMille";1952;9488114;"États-Unis"
35;"E.T. l'extra-terrestre";"Steven Spielberg";1982;9420339;"États-Unis"
36;"Harry Potter à l'école des sorciers";"Chris Columbus";2001;9359812;"États-Unis, Royaume-Uni"
38;"Le Grand Bleu";"Luc Besson";1988;9194796;"France, États-Unis, Italie"
39;"Le Monde de Nemo";"Andrew Stanton";2003;9179571;"États-Unis"
40;"L'Ours";"Jean-Jacques Annaud";1988;9136266;"France"
44;"Harry Potter et la Chambre des secrets";"Chris Columbus";2002;8756449;"États-Unis, Royaume-Uni"
46;"West Side Story";"Robert Wise";1962;8752752;"États-Unis"
48;"Le Fabuleux Destin d'Amélie Poulain";"Jean-Pierre Jeunet";2001;8516999;"France, Allemagne"
49;"Les Choristes";"Christophe Barratier";2004;8451680;"France, Suisse, Allemagne"
50;"Le Dictateur";"Charlie Chaplin";1945;8287978;"États-Unis"
51;"Pour qui sonne le glas";"Sam Wood";1947;8274596;"États-Unis"
52;"Rien à déclarer";"Dany Boon";2011;8073402;"France,Belgique"
54;"Un Indien dans la ville";"Hervé Palud";1994;7887966;"France"
55;"Ratatouille";"Brad Bird";2007;7824208;"États-Unis"
56;"Tarzan";"Kevin Lima";1999;7819775;"États-Unis"
58;"L'Âge de glace 3 : le Temps des dinosaures";"Carlos Saldanha";2009;7800570;"États-Unis"
60;"Le Cinquième Élément";"Luc Besson";1997;7704669;"France"
61;"La Reine des Neiges 2";"Jennifer Lee et Chris Buck";2019;7646432;"États-Unis"
62;"Harry Potter et la Coupe de feu";"Mike Newell";2005;7635425;"États-Unis, Royaume-Uni"
63;"Orange mécanique";"Stanley Kubrick";1972;7611645;"États-Unis, Royaume-Uni"
67;"La Vérité si je mens ! 2";"Thomas Gilou";2001;7404014;"France"
68;"Aladdin";"R.Clements / J.Musker";1993;7308092;"États-Unis"
69;"Les Aventures de Rabbi Jacob";"Gérard Oury";1973;7295727;"France, Italie"
70;"Danse avec les loups";"Kevin Costner";1991;7280823;"États-Unis, Royaume-Uni"
71;"Le Seigneur des anneaux : Le Retour du roi";"Peter Jackson";2003;7256353;"États-Unis, Nouvelle-Zélande"
72;"Star Wars, épisode III : La Revanche des Sith";"George Lucas"; 2005;7230417;"États-Unis"
73;"Les Aventures de Bernard et Bianca";"Art Stevens, John Lounsbery, Wolfgang Reitherman";1977;7229087;"États-Unis"
75;"Shrek 2";"Andrew Adamson";2004;7120257;"États-Unis"
76;"Jeanne d'Arc";"Victor Fleming";1949;7092574;"États-Unis"
77;"Le Seigneur des anneaux : Les Deux Tours";"Peter Jackson";2002;7069149;"États-Unis, Nouvelle-Zélande"
78;"Jour de fête";"Jacques Tati";1949;7065849;"France"
80;"Monsieur Vincent";"Maurice Cloche";1947;7055290;"France"
82;"Skyfall";"Sam Mendes";2012;6989740;"États-Unis, Royaume-Uni"
83;"Si Versailles m'était conté...";"Sacha Guitry";1954;6986788;"France"
85;"Avengers : Endgame";"Anthony et Joe Russo";2019;6934920;"États-Unis"
86;"Le gendarme se marie";"Jean Girault";1968;6828626;"France, Italie"
89;"Le Bossu de Notre-Dame";"Gary Trousdale";1996;6803327;"États-Unis"
91;"Fanfan la Tulipe";"Christian-Jaque";1952;6733287;"France"
92;"Rox et Rouky";"Richard Rich, Ted Berman, Art Stevens";1981;6694661;"États-Unis"
93;"Goldfinger";"Guy Hamilton";1965;6675099;"Royaume-Uni"
