BEUVILLERS;14100;14;49.1262889873;0.249746310711;91;491;1200;"{""type"": ""Polygon"", ""coordinates"": [[[0.2471737083, 49.1167133067], [0.2320374298, 49.1150163507], [0.2277058035, 49.1168238282], [0.2307615676, 49.1232457756], [0.2516063066, 49.1375333237], [0.2715180015, 49.1359084695], [0.2641369002, 49.1235418552], [0.2471737083, 49.1167133067]]]}"
BILLY;14370;14;49.0888230854;-0.194956475623;38;679;300;"{""type"": ""Polygon"", ""coordinates"": [[[-0.1752976892, 49.0797610253], [-0.1820692714, 49.0753704894], [-0.2064224967, 49.0788983563], [-0.2232389735, 49.0904887211], [-0.2242048194, 49.0943412582], [-0.1938100424, 49.0978614473], [-0.1897428742, 49.1039174607], [-0.17429756, 49.1005650129], [-0.1789564826, 49.0913984046], [-0.1733696959, 49.0827275078], [-0.1752976892, 49.0797610253]]]}"
CINTHEAUX;14680;14;49.0657733566;-0.283693859149;104;754;200;"{""type"": ""Polygon"", ""coordinates"": [[[-0.289614823, 49.0503891734], [-0.2951123443, 49.0517953195], [-0.2995268142, 49.0579106739], [-0.3162779645, 49.066106668], [-0.3163897911, 49.0695683379], [-0.3063955721, 49.0747934825], [-0.281121488, 49.070446964], [-0.2692911578, 49.0772398974], [-0.2542557793, 49.0742735103], [-0.2493329137, 49.0706901828], [-0.2588320062, 49.0623066404], [-0.2836403156, 49.0561503094], [-0.289614823, 49.0503891734]]]}"
COLOMBELLES;14460;14;49.1982444899;-0.295509264279;28;703;5700;"{""type"": ""Polygon"", ""coordinates"": [[[-0.3042632006, 49.1823245505], [-0.3078686994, 49.1807498093], [-0.3154374005, 49.1859765929], [-0.3122859386, 49.2064352831], [-0.3048958975, 49.2109213644], [-0.2888423937, 49.2189370027], [-0.2946626854, 49.2139190849], [-0.2856577083, 49.2068676956], [-0.2690044737, 49.202165017], [-0.2681960291, 49.2013231551], [-0.2754697405, 49.1895540647], [-0.2903775996, 49.1914781065], [-0.3042632006, 49.1823245505]]]}"
FONTAINE HENRY;14610;14;49.2777846535;-0.465842356858;42;580;500;"{""type"": ""Polygon"", ""coordinates"": [[[-0.450046449, 49.2663133255], [-0.4745090076, 49.2698041646], [-0.4928136688, 49.2736935897], [-0.4901817515, 49.2793127665], [-0.4825786826, 49.2824119789], [-0.4773708021, 49.282283282], [-0.4577625109, 49.2932487376], [-0.453089863, 49.2920868492], [-0.4519754728, 49.2793324856], [-0.4434012147, 49.2718211933], [-0.450046449, 49.2663133255]]]}"
FONTENAY LE MARMION;14320;14;49.0870178586;-0.34496703891;67;1008;1600;"{""type"": ""Polygon"", ""coordinates"": [[[-0.309493923, 49.0789108135], [-0.3456974292, 49.0729042856], [-0.3702617001, 49.0792822103], [-0.3700864653, 49.0852267991], [-0.3795837064, 49.0856799846], [-0.3616644115, 49.0990248025], [-0.3642167999, 49.101608178], [-0.3345460836, 49.0999332795], [-0.3265210721, 49.1030173925], [-0.3290186211, 49.0936791018], [-0.3132679676, 49.082874441], [-0.309493923, 49.0789108135]]]}"
FOURNEAUX LE VAL;14700;14;48.8625465885;-0.269829926137;194;539;200;"{""type"": ""Polygon"", ""coordinates"": [[[-0.2537129308, 48.8495138678], [-0.2680182354, 48.8531832018], [-0.2833268283, 48.8523948344], [-0.2872909677, 48.8734921838], [-0.277364812, 48.8766447752], [-0.2706841652, 48.871742145], [-0.2516232013, 48.8678153773], [-0.2537129308, 48.8495138678]]]}"
GUERON;14400;14;49.2476651518;-0.709843889765;61;530;200;"{""type"": ""Polygon"", ""coordinates"": [[[-0.6888859676, 49.2378143611], [-0.6876174256, 49.2346762791], [-0.6919448583, 49.2331127992], [-0.7066094205, 49.2344625438], [-0.7179028504, 49.2414765154], [-0.732476052, 49.2449409945], [-0.7340333936, 49.2457567442], [-0.7047667554, 49.2658831806], [-0.6985634703, 49.2658666384], [-0.7056109966, 49.2462199912], [-0.6888859676, 49.2378143611]]]}"
HONFLEUR;14600;14;49.4129449727;0.237579361279;47;1369;8200;"{""type"": ""Polygon"", ""coordinates"": [[[0.2628690729, 49.3949944564], [0.2515141364, 49.3885491013], [0.2318932571, 49.3934439407], [0.2269029189, 49.3993735491], [0.2217239292, 49.3988139816], [0.2269295717, 49.4188458315], [0.2204608136, 49.4235000569], [0.2130871945, 49.4191213584], [0.2108125588, 49.4091936838], [0.2066649608, 49.4071372989], [0.1972902935, 49.4094567418], [0.1942280738, 49.406714538], [0.1846862024, 49.4153609029], [0.2228234369, 49.4272417247], [0.2755430442, 49.4286649819], [0.2725896106, 49.4117984931], [0.2518130496, 49.4108426198], [0.245343948, 49.4055150633], [0.2457747396, 49.4020982281], [0.2628690729, 49.3949944564]]]}"
ISIGNY SUR MER;14230;14;49.305761488;-1.10256916512;13;1750;2800;"{""type"": ""Polygon"", ""coordinates"": [[[-1.1271674116, 49.2837398951], [-1.1347252495, 49.2870457179], [-1.1368260624, 49.2929958667], [-1.1394521409, 49.309603908], [-1.1133216411, 49.3266910109], [-1.10516246, 49.3224591545], [-1.0752617378, 49.3166406168], [-1.0603518899, 49.3185833655], [-1.0576975494, 49.3046219084], [-1.0670523657, 49.2979160229], [-1.0719384803, 49.2991373931], [-1.0898629347, 49.2922390128], [-1.1104569879, 49.2917909896], [-1.1271674116, 49.2837398951]]]}"
JUVIGNY SUR SEULLES;14250;14;49.1556573472;-0.60264289279;95;357;100;"{""type"": ""Polygon"", ""coordinates"": [[[-0.5863352966, 49.1450371172], [-0.5950362143, 49.1484403988], [-0.6194588566, 49.1506150528], [-0.6216151521, 49.1512341659], [-0.622194934, 49.1526567351], [-0.6158098296, 49.1571058693], [-0.6143575245, 49.1661765409], [-0.5879150369, 49.160109965], [-0.5863352966, 49.1450371172]]]}"
